ID,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,Maceration
1753,6.5,0.41,0.24,14,0.048,24,113,0.9982,3.44,0.53,9.8,6,1
1754,6.5,0.38,0.34,3.4,0.036,34,200,0.9937,3.14,0.76,10,5,0
1755,6.5,0.3,0.29,2.25,0.037,8,210,0.9937,3.19,0.62,9.9,5,0
1756,6.5,0.18,0.31,1.7,0.044,30,127,0.9928,3.49,0.5,10.2,7,0
1757,6.5,0.28,0.27,5.2,0.04,44,179,0.9948,3.19,0.69,9.4,6,1
1758,6.5,0.28,0.29,2.7,0.038,26,107,0.9912,3.32,0.41,11.6,7,1
1759,6.5,0.28,0.29,2.7,0.038,26,107,0.9912,3.32,0.41,11.6,7,1
1760,6.5,0.36,0.28,3.2,0.037,29,119,0.9908,3.25,0.65,12.4,8,1
1761,6.5,0.46,0.41,16.8,0.084,59,222,0.9993,3.18,0.58,9,5,1
1762,6.5,0.26,0.43,8.9,0.083,50,171,0.9965,2.85,0.5,9,5,0
1763,6.5,0.33,0.72,1.1,0.061,7,151,0.993,3.09,0.57,9.5,4,1
1764,6.5,0.21,0.37,2.5,0.048,70,138,0.9917,3.33,0.75,11.4,7,1
1765,6.5,0.23,0.33,13.8,0.042,25,139,0.99695,3.35,0.56,10.4,6,1
1766,6.5,0.26,0.32,16.5,0.045,44,166,1,3.38,0.46,9.5,6,1
1767,6.5,0.3,0.32,2,0.044,34,90,0.99185,3.37,0.68,11,7,1
1768,6.5,0.3,0.32,2,0.044,34,90,0.99185,3.37,0.68,11,7,0
1769,6.5,0.26,0.27,12.9,0.044,69,215,0.9967,3.17,0.43,10,6,0
1770,6.5,0.25,0.35,12,0.055,47,179,0.998,3.58,0.47,10,5,1
1771,6.5,0.26,0.28,12.5,0.046,80,225,0.99685,3.18,0.41,10,6,1
1772,6.5,0.18,0.33,8,0.051,16,131,0.9965,3.28,0.44,8.7,7,0
1773,6.5,0.17,0.33,1.4,0.028,14,99,0.9928,3.23,0.55,10.1,6,0
1774,6.5,0.34,0.28,1.8,0.041,43,188,0.9928,3.13,0.37,9.6,6,0
1775,6.5,0.08,0.33,1.9,0.028,23,93,0.991,3.34,0.7,12,7,0
1776,6.5,0.08,0.33,1.9,0.028,23,93,0.991,3.34,0.7,12,7,1
1777,6.5,0.14,0.33,7.6,0.05,53,189,0.9966,3.25,0.49,8.6,5,1
1778,6.5,0.25,0.27,15.2,0.049,75,217,0.9972,3.19,0.39,9.9,5,0
1779,6.5,0.19,0.1,1.3,0.046,23,107,0.9937,3.29,0.45,10,5,0
1780,6.5,0.26,0.34,16.3,0.051,56,197,1.0004,3.49,0.42,9.8,5,1
1781,6.5,0.28,0.26,8.8,0.04,44,139,0.9956,3.32,0.37,10.2,6,1
1782,6.5,0.29,0.25,10.6,0.039,32,120,0.9962,3.31,0.34,10.1,6,0
1783,6.5,0.22,0.34,12,0.053,55,177,0.9983,3.52,0.44,9.9,6,1
1784,6.5,0.52,0.17,1.4,0.047,5,26,0.9932,3.26,0.32,10,4,0
1785,6.5,0.115,0.29,1.95,0.038,73,166,0.989,3.12,0.25,12.9,7,1
1786,6.5,0.41,0.64,11.8,0.065,65,225,0.9978,3.12,0.51,8.9,5,1
1787,6.5,0.22,0.72,6.8,0.042,33,168,0.9958,3.12,0.36,9.2,6,1
1788,6.5,0.37,0.33,3.9,0.027,40,130,0.9906,3.28,0.39,12.7,7,0
1789,6.5,0.19,0.32,1.4,0.04,31,132,0.9922,3.36,0.54,10.8,7,0
1790,6.5,0.36,0.49,2.9,0.03,16,94,0.9902,3.1,0.49,12.1,7,1
1791,6.5,0.24,0.24,1.6,0.046,15,60,0.9928,3.19,0.39,9.8,5,1
1792,6.5,0.26,0.74,13.3,0.044,68,224,0.9972,3.18,0.54,9.5,6,0
1793,6.5,0.44,0.49,7.7,0.045,16,169,0.9957,3.11,0.37,8.7,6,1
1794,6.5,0.13,0.37,1,0.036,48,114,0.9911,3.41,0.51,11.5,8,0
1795,6.5,0.27,0.19,4.2,0.046,6,114,0.9955,3.25,0.35,8.6,4,1
1796,6.5,0.18,0.34,1.6,0.04,43,148,0.9912,3.32,0.59,11.5,8,1
1797,6.5,0.18,0.34,1.6,0.04,43,148,0.9912,3.32,0.59,11.5,8,0
1798,6.5,0.18,0.26,1.4,0.041,40,141,0.9941,3.34,0.72,9.5,6,1
1799,6.5,0.18,0.26,1.4,0.041,40,141,0.9941,3.34,0.72,9.5,6,1
1800,6.5,0.32,0.12,11.5,0.033,35,165,0.9974,3.22,0.32,9,5,1
1801,6.5,0.32,0.12,11.5,0.033,35,165,0.9974,3.22,0.32,9,5,1
1802,6.5,0.34,0.36,11,0.052,53,247,0.9984,3.44,0.55,9.3,6,1
1803,6.5,0.25,0.2,1.4,0.024,29,101,0.9916,3.24,0.54,10.8,6,1
1804,6.5,0.19,0.26,5.2,0.04,31,140,0.995,3.26,0.68,9.5,6,0
1805,6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8,5,0
1806,6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8,5,0
1807,6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8,5,0
1808,6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8,5,0
1809,6.5,0.43,0.28,12,0.056,23,174,0.9986,3.31,0.55,9.3,5,1
1810,6.5,0.14,0.32,2.7,0.037,18,89,0.9924,3.4,0.74,11.5,7,1
1811,6.5,0.39,0.81,1.2,0.217,14,74,0.9936,3.08,0.53,9.5,5,0
1812,6.5,0.24,0.36,2.2,0.027,36,134,0.9898,3.28,0.36,12.5,7,1
1813,6.5,0.39,0.35,1.6,0.049,10,164,0.99516,3.35,0.51,9.7,5,0
1814,6.5,0.36,0.31,4.1,0.061,20,134,0.99475,3.18,0.45,9,6,0
1815,6.5,0.32,0.23,1.2,0.054,39,208,0.99272,3.18,0.46,9.9,6,0
1816,6.5,0.29,0.42,10.6,0.042,66,202,0.99674,3.24,0.53,9.5,6,1
1817,6.5,0.28,0.35,9.8,0.067,61,180,0.9972,3.15,0.57,9,4,0
1818,6.5,0.21,0.28,1.4,0.046,26,66,0.99199,3.43,0.48,11.1,6,1
1819,6.5,0.18,0.29,1.7,0.035,39,144,0.9927,3.49,0.5,10.5,6,0
1820,6.5,0.24,0.29,8.2,0.043,32,156,0.99453,3.13,0.7,10.1,6,0
1821,6.5,0.19,0.27,4.9,0.037,13,101,0.9916,3.17,0.41,11.8,6,1
1822,6.5,0.27,0.26,8.2,0.042,21,133,0.99612,3.43,0.64,9.8,6,1
1823,6.5,0.18,0.33,1.4,0.029,35,138,0.99114,3.36,0.6,11.5,7,0
1824,6.5,0.18,0.33,1.4,0.029,35,138,0.99114,3.36,0.6,11.5,7,1
1825,6.5,0.23,0.25,17.3,0.046,15,110,0.99828,3.15,0.42,9.2,6,1
1826,6.5,0.23,0.25,17.3,0.046,15,110,0.99828,3.15,0.42,9.2,6,1
1827,6.5,0.27,0.4,10,0.039,74,227,0.99582,3.18,0.5,9.4,5,0
1828,6.5,0.3,0.39,7.8,0.038,61,219,0.9959,3.19,0.5,9.4,5,0
1829,6.5,0.18,0.41,14.2,0.039,47,129,0.99678,3.28,0.72,10.3,7,1
1830,6.5,0.18,0.41,14.2,0.039,47,129,0.99678,3.28,0.72,10.3,7,0
1831,6.5,0.18,0.41,14.2,0.039,47,129,0.99678,3.28,0.72,10.3,7,0
1832,6.5,0.28,0.28,20.4,0.041,40,144,1.0002,3.14,0.38,8.7,5,1
1833,6.5,0.18,0.41,14.2,0.039,47,129,0.99678,3.28,0.72,10.3,7,1
1834,6.5,0.15,0.44,12.6,0.052,65,158,0.99688,3.26,0.7,10.3,7,1
1835,6.5,0.22,0.5,16.4,0.048,36,182,0.99904,3.02,0.49,8.8,6,1
1836,6.5,0.46,0.31,5,0.027,15,72,0.99165,3.26,0.6,11.5,7,0
1837,6.5,0.23,0.36,16.3,0.038,43,133,0.99924,3.26,0.41,8.8,5,0
1838,6.5,0.23,0.36,16.3,0.038,43,133,0.99924,3.26,0.41,8.8,5,1
1839,6.5,0.23,0.36,16.3,0.038,43,133,0.99924,3.26,0.41,8.8,5,0
1840,6.5,0.23,0.36,16.3,0.038,43,133,0.99924,3.26,0.41,8.8,5,0
1841,6.5,0.17,0.31,1.5,0.041,34,121,0.99092,3.06,0.46,10.5,6,1
1842,6.5,0.35,0.28,12.4,0.051,86,213,0.9962,3.16,0.51,9.9,6,1
1843,6.5,0.29,0.31,1.7,0.035,24,79,0.99053,3.27,0.69,11.4,7,0
1844,6.5,0.29,0.31,1.7,0.035,24,79,0.99053,3.27,0.69,11.4,7,1
1845,6.5,0.35,0.28,12.4,0.051,86,213,0.9962,3.16,0.51,9.9,6,0
1846,6.5,0.17,0.31,1.5,0.041,34,121,0.99092,3.06,0.46,10.5,6,0
1847,6.5,0.37,0.3,2.2,0.033,39,107,0.98894,3.22,0.53,13.5,7,0
1848,6.5,0.37,0.3,2.2,0.033,39,107,0.98894,3.22,0.53,13.5,7,1
1849,6.5,0.2,0.24,9.2,0.044,25,150,0.99502,3.22,0.44,10.5,5,0
1850,6.5,0.22,0.45,8,0.053,52,196,0.9959,3.23,0.48,9.1,6,0
1851,6.5,0.22,0.45,8,0.053,52,196,0.9959,3.23,0.48,9.1,6,0
1852,6.5,0.37,0.33,3.5,0.036,23,92,0.99136,3.18,0.38,11.2,6,0
1853,6.5,0.22,0.29,7.4,0.028,16,87,0.99311,3.15,0.56,10.9,7,0
1854,6.5,0.15,0.32,1.3,0.036,19,76,0.98964,3.18,0.41,12.3,6,1
1855,6.5,0.15,0.55,5.9,0.045,75,162,0.99482,2.97,0.4,9.3,5,1
1856,6.5,0.22,0.32,2.2,0.028,36,92,0.99076,3.27,0.59,11.9,7,1
1857,6.5,0.22,0.32,2.2,0.028,36,92,0.99076,3.27,0.59,11.9,7,1
1858,6.5,0.44,0.47,5.45,0.014,44,137,0.98984,3.13,0.32,13,8,0
1859,6.5,0.35,0.36,0.8,0.034,32,111,0.98942,3.11,0.5,12.1,8,1
1860,6.5,0.2,0.5,18.1,0.054,50,221,0.99941,2.94,0.64,8.8,6,1
1861,6.5,0.23,0.45,2.1,0.027,43,104,0.99054,3.02,0.52,11.3,6,0
1862,6.5,0.36,0.38,10.2,0.028,20,82,0.99274,3.1,0.43,12.1,7,1
1863,6.5,0.29,0.26,7,0.04,18,113,0.99366,3.17,0.38,10.2,6,0
1864,6.5,0.23,0.39,1.9,0.036,41,98,0.99,3.19,0.43,11.9,7,0
1865,6.5,0.24,0.39,17.3,0.052,22,126,0.99888,3.11,0.47,9.2,6,1
1866,6.5,0.23,0.39,1.9,0.036,41,98,0.99,3.19,0.43,11.9,7,0
1867,6.5,0.24,0.39,17.3,0.052,22,126,0.99888,3.11,0.47,9.2,6,1
1868,6.5,0.33,0.38,2.5,0.047,30,148,0.98964,3.17,0.43,12.7,6,1
1869,6.5,0.16,0.33,4.8,0.043,45,114,0.992,3.18,0.44,11.2,6,1
1870,6.5,0.34,0.46,1,0.023,6,80,0.98865,3.15,0.54,12.9,6,1
1871,6.5,0.24,0.38,1,0.027,31,90,0.98926,3.24,0.36,12.3,6,0
1872,6.5,0.24,0.38,1,0.027,31,90,0.98926,3.24,0.36,12.3,6,0
1873,6.5,0.21,0.4,7.3,0.041,49,115,0.99268,3.21,0.43,11,6,1
1874,6.5,0.29,0.25,2.5,0.142,8,111,0.9927,3,0.44,9.9,4,0
1875,6.5,0.26,0.31,3.6,0.03,36,92,0.99026,3.22,0.62,12.6,8,1
1876,6.5,0.32,0.34,5.7,0.044,27,91,0.99184,3.28,0.6,12,7,1
1877,6.5,0.48,0.02,0.9,0.043,32,99,0.99226,3.14,0.47,9.8,4,0
1878,6.5,0.32,0.3,2.3,0.051,20,127,0.98964,3.13,0.52,12.8,6,1
1879,6.5,0.25,0.5,7.6,0.047,54,184,0.99572,3.17,0.45,9.2,5,0
1880,6.5,0.22,0.28,3.7,0.059,29,151,0.99177,3.23,0.41,12.1,7,1
1881,6.5,0.26,0.32,6.65,0.059,34,104,0.99254,3.18,0.42,11.1,5,0
1882,6.5,0.43,0.28,11.25,0.032,31,87,0.9922,3.02,0.38,12.4,6,1
1883,6.5,0.43,0.28,11.25,0.032,31,87,0.9922,3.02,0.38,12.4,6,0
1884,6.5,0.28,0.34,3.6,0.04,29,121,0.99111,3.28,0.48,12.1,7,0
1885,6.5,0.28,0.34,3.6,0.04,29,121,0.99111,3.28,0.48,12.1,7,0
1886,6.5,0.25,0.45,7.8,0.048,52,188,0.99576,3.2,0.53,9.1,5,1
1887,6.5,0.24,0.28,1.1,0.034,26,83,0.98928,3.25,0.33,12.3,6,0
1888,6.5,0.3,0.27,4,0.038,37,97,0.99026,3.2,0.6,12.6,8,1
1889,6.5,0.22,0.19,1.1,0.064,36,191,0.99297,3.05,0.5,9.5,6,0
1890,6.5,0.3,0.27,4,0.038,37,97,0.99026,3.2,0.6,12.6,8,0
1891,6.5,0.22,0.19,1.1,0.064,36,191,0.99297,3.05,0.5,9.5,6,1
1892,6.5,0.16,0.34,1.4,0.029,29,133,0.99108,3.33,0.64,11.5,7,1
1893,6.5,0.19,0.28,1.4,0.046,22,90,0.99038,3.18,0.51,11.7,7,0
1894,6.5,0.28,0.25,4.8,0.029,54,128,0.99074,3.17,0.44,12.2,7,0
1895,6.5,0.21,0.51,17.6,0.045,34,125,0.99966,3.2,0.47,8.8,6,0
1896,6.5,0.26,0.39,1.4,0.02,12,66,0.99089,3.25,0.75,11.3,7,1
1897,6.5,0.26,0.31,1.3,0.034,59,145,0.98944,3.16,0.54,12.4,6,1
1898,6.5,0.27,0.26,11,0.03,2,82,0.99402,3.07,0.36,11.2,5,1
1899,6.5,0.35,0.38,7.4,0.036,20,196,0.99712,3.47,0.48,9.1,6,0
1900,6.5,0.19,0.34,1.6,0.029,39,116,0.98954,3.21,0.68,12.5,6,0
1901,6.5,0.32,0.48,8,0.026,18,88,0.99144,3.22,0.79,12.7,4,1
1902,6.5,0.26,0.34,1.4,0.04,25,184,0.99216,3.29,0.46,10.7,5,0
1903,6.5,0.26,0.34,1.4,0.04,25,184,0.99216,3.29,0.46,10.7,5,1
1904,6.5,0.33,0.28,6.1,0.018,41,103,0.99122,3.24,0.32,12.2,6,1
1905,6.5,0.33,0.28,6.1,0.018,41,103,0.99122,3.24,0.32,12.2,6,0
1906,6.5,0.32,0.45,7.7,0.022,31,97,0.99134,3.2,0.7,12.7,7,0
1907,6.5,0.25,0.27,17.4,0.064,29,140,0.99776,3.2,0.49,10.1,6,0
1908,6.5,0.26,0.5,8,0.051,46,197,0.99536,3.18,0.47,9.5,5,0
1909,6.5,0.25,0.27,17.4,0.064,29,140,0.99776,3.2,0.49,10.1,6,1
1910,6.5,0.41,0.22,4.8,0.052,49,142,0.9946,3.14,0.62,9.2,5,0
1911,6.5,0.41,0.22,4.8,0.052,49,142,0.9946,3.14,0.62,9.2,5,1
1912,6.5,0.27,0.19,6.6,0.045,98,175,0.99364,3.16,0.34,10.1,6,0
1913,6.5,0.27,0.19,6.6,0.045,98,175,0.99364,3.16,0.34,10.1,6,0
1914,6.5,0.27,0.19,6.6,0.045,98,175,0.99364,3.16,0.34,10.1,6,1
1915,6.5,0.35,0.31,10.2,0.069,58,170,0.99692,3.18,0.49,9.4,5,1
1916,6.5,0.33,0.3,3.8,0.036,34,88,0.99028,3.25,0.63,12.5,7,0
1917,6.5,0.33,0.3,3.8,0.036,34,88,0.99028,3.25,0.63,12.5,7,0
1918,6.5,0.33,0.3,3.8,0.036,34,88,0.99028,3.25,0.63,12.5,7,1
1919,6.5,0.22,0.31,3.9,0.046,17,106,0.99098,3.15,0.31,11.5,5,1
1920,6.5,0.36,0.36,6.7,0.185,51.5,151,0.99528,3.17,0.42,9.3,5,0
1921,6.5,0.29,0.52,7.9,0.049,35,192,0.99551,3.16,0.51,9.5,6,0
1922,6.5,0.29,0.52,7.9,0.049,35,192,0.99551,3.16,0.51,9.5,6,1
1923,6.5,0.29,0.53,1.7,0.04,41,192,0.9922,3.26,0.59,10.4,7,0
1924,6.5,0.29,0.52,1.7,0.034,41,193,0.99223,3.25,0.59,10.4,6,1
1925,6.5,0.38,0.26,5.2,0.042,33,112,0.99067,3.06,0.5,12.3,7,0
1926,6.5,0.46,0.24,11.5,0.051,56,171,0.99588,3.08,0.56,9.8,6,0
1927,6.5,0.18,0.48,18,0.054,56,183,1.00038,2.98,0.61,8.5,6,1
1928,6.5,0.43,0.18,13.15,0.032,25,131,0.99565,3.23,0.51,10.7,5,0
1929,6.5,0.36,0.16,1.3,0.054,11,107,0.99398,3.19,0.39,8.5,5,0
1930,6.5,0.33,0.24,14.5,0.048,20,96,0.99456,3.06,0.3,11.5,8,1
1931,6.5,0.21,0.42,1.1,0.059,33,101,0.9927,3.12,0.38,9.7,6,1
1932,6.5,0.43,0.31,3.6,0.046,19,143,0.99022,3.15,0.34,12,8,1
1933,6.5,0.4,0.31,3.5,0.046,22,147,0.99024,3.15,0.31,12,7,1
1934,6.5,0.31,0.61,13,0.053,31,123,0.99708,3.09,0.5,9.3,6,1
1935,6.5,0.38,0.53,1.4,0.142,5,69,0.9926,3.14,0.52,10.1,4,1
1936,6.5,0.26,0.24,10.8,0.042,47,130,0.996,3.08,0.4,10.1,6,0
1937,6.5,0.22,0.27,1.6,0.039,36,116,0.99178,3.38,0.57,11,7,1
1938,6.5,0.23,0.2,7.5,0.05,44,179,0.99504,3.18,0.48,9.533333333,5,0
1939,6.5,0.2,0.33,1.5,0.039,36,110,0.99008,3.22,0.65,12,6,1
1940,6.5,0.3,0.28,11.45,0.041,29,109,0.99418,2.98,0.3,10.9,6,0
1941,6.5,0.22,0.19,4.5,0.096,16,115,0.9937,3.02,0.44,9.6,5,0
1942,6.5,0.13,0.27,2.6,0.035,32,76,0.9914,3.21,0.76,11.33333333,6,0
1943,6.5,0.315,0.2,6.6,0.041,9,126,0.99494,2.94,0.51,8.8,5,1
1944,6.5,0.13,0.27,2.6,0.035,32,76,0.9914,3.21,0.76,11.33333333,6,1
1945,6.5,0.29,0.3,9.15,0.051,25,166,0.99339,3.24,0.56,11.33333333,6,0
1946,6.5,0.29,0.3,9.15,0.051,25,166,0.99339,3.24,0.56,11.35,6,0
1947,6.5,0.32,0.23,8.5,0.051,20,138,0.9943,3.03,0.42,10.7,5,0
1948,6.5,0.2,0.31,2.1,0.033,32,95,0.989435,2.96,0.61,12,6,1
1949,6.5,0.36,0.31,13.55,0.053,20,113,0.99544,3.2,0.56,11,6,0
1950,6.5,0.36,0.31,13.55,0.053,20,113,0.99544,3.2,0.56,11,6,0
1951,6.5,0.16,0.33,1,0.027,23,75,0.9908,3.3,0.39,11.4,7,0
1952,6.5,0.29,0.32,3,0.036,38,93,0.9906,3.16,0.59,12,6,0
1953,6.5,0.5,0.22,4.1,0.036,35,131,0.9902,3.26,0.55,13,7,1
1954,6.5,0.51,0.25,1.7,0.048,39,177,0.99212,3.28,0.57,10.56666667,5,0
1955,6.5,0.51,0.25,1.7,0.048,39,177,0.99212,3.28,0.57,10.6,5,1
1956,6.5,0.21,0.35,5.7,0.043,47,197,0.99392,3.24,0.5,10.1,6,0
1957,6.5,0.25,0.32,9.9,0.045,41,128,0.99636,3.18,0.52,9.6,6,0
1958,6.5,0.33,0.32,1,0.041,39,120,0.99004,3.06,0.37,12.2,6,1
1959,6.5,0.2,0.35,3.9,0.04,27,140,0.99102,2.98,0.53,11.8,6,0
1960,6.5,0.28,0.34,4.6,0.054,22,130,0.99193,3.2,0.46,12,7,1
1961,6.5,0.28,0.38,7.8,0.031,54,216,0.99154,3.03,0.42,13.1,6,0
1962,6.5,0.33,0.38,8.3,0.048,68,174,0.99492,3.14,0.5,9.6,5,0
1963,6.5,0.23,0.38,1.3,0.032,29,112,0.99298,3.29,0.54,9.7,5,1
1964,6.5,0.24,0.19,1.2,0.041,30,111,0.99254,2.99,0.46,9.4,6,0
1965,6.6,0.52,0.04,2.2,0.069,8,15,0.9956,3.4,0.63,9.4,6,7
1966,6.6,0.5,0.04,2.1,0.068,6,14,0.9955,3.39,0.64,9.4,6,17
1967,6.6,0.705,0.07,1.6,0.076,6,15,0.9962,3.44,0.58,10.7,5,15
1968,6.6,0.5,0.01,1.5,0.06,17,26,0.9952,3.4,0.58,9.8,6,20
1969,6.6,0.695,0,2.1,0.075,12,56,0.9968,3.49,0.67,9.2,5,17
1970,6.6,0.815,0.02,2.7,0.072,17,34,0.9955,3.58,0.89,12.3,7,20
1971,6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,5,17
1972,6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,5,9
1973,6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,7,18
1974,6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,7,10
1975,6.6,0.39,0.49,1.7,0.07,23,149,0.9922,3.12,0.5,11.5,6,19
1976,6.6,0.66,0,3,0.115,21,31,0.99629,3.45,0.63,10.3,5,11
1977,6.6,0.61,0.01,1.9,0.08,8,25,0.99746,3.69,0.73,10.5,5,19
1978,6.6,0.61,0.01,1.9,0.08,8,25,0.99746,3.69,0.73,10.5,5,8
1979,6.6,0.57,0.02,2.1,0.115,6,16,0.99654,3.38,0.69,9.5,5,9
1980,6.6,0.52,0.08,2.4,0.07,13,26,0.99358,3.4,0.72,12.5,7,17
1981,6.6,0.725,0.09,5.5,0.117,9,17,0.99655,3.35,0.49,10.8,6,21
1982,6.6,0.725,0.09,5.5,0.117,9,17,0.99655,3.35,0.49,10.8,6,20
1983,6.6,0.5,0,1.8,0.062,21,28,0.99352,3.44,0.55,12.3,6,18
1984,6.6,0.58,0,2.2,0.1,50,63,0.99544,3.59,0.68,11.4,6,17
1985,6.6,0.8,0.03,7.8,0.079,6,12,0.9963,3.52,0.5,12.2,5,20
1986,6.6,0.44,0.15,2.1,0.076,22,53,0.9957,3.32,0.62,9.3,5,9
1987,6.6,0.63,0,4.3,0.093,51,77.5,0.99558,3.2,0.45,9.5,5,7
1988,6.6,0.63,0,4.3,0.093,51,77.5,0.99558,3.2,0.45,9.5,5,14
1989,6.6,0.58,0.02,2.4,0.069,19,40,0.99387,3.38,0.66,12.6,6,14
1990,6.6,0.61,0,1.6,0.069,4,8,0.99396,3.33,0.37,10.4,4,20
1991,6.6,0.64,0.31,6.1,0.083,7,49,0.99718,3.35,0.68,10.3,5,15
1992,6.6,0.96,0,1.8,0.082,5,16,0.9936,3.5,0.44,11.9,6,7
1993,6.6,0.58,0.02,2,0.062,37,53,0.99374,3.35,0.76,11.6,7,18
1994,6.6,0.895,0.04,2.3,0.068,7,13,0.99582,3.53,0.58,10.8,6,19
1995,6.6,0.7,0.08,2.6,0.106,14,27,0.99665,3.44,0.58,10.2,5,16
1996,6.6,0.44,0.09,2.2,0.063,9,18,0.99444,3.42,0.69,11.3,6,20
1997,6.6,0.56,0.14,2.4,0.064,13,29,0.99397,3.42,0.62,11.7,7,7
1998,6.6,0.855,0.02,2.4,0.062,15,23,0.99627,3.54,0.6,11,6,10
1999,6.6,0.88,0.04,2.2,0.066,12,20,0.99636,3.53,0.56,9.9,5,21
2000,6.6,0.855,0.02,2.4,0.062,15,23,0.99627,3.54,0.6,11,6,8
2001,6.6,0.725,0.2,7.8,0.073,29,79,0.9977,3.29,0.54,9.2,5,18
2002,6.6,0.16,0.4,1.5,0.044,48,143,0.9912,3.54,0.52,12.4,7,0
2003,6.6,0.17,0.38,1.5,0.032,28,112,0.9914,3.25,0.55,11.4,7,0
2004,6.6,0.27,0.41,1.3,0.052,16,142,0.9951,3.42,0.47,10,6,1
2005,6.6,0.24,0.27,1.4,0.057,33,152,0.9934,3.22,0.56,9.5,6,0
2006,6.6,0.25,0.29,1.1,0.068,39,124,0.9914,3.34,0.58,11,7,0
2007,6.6,0.38,0.15,4.6,0.044,25,78,0.9931,3.11,0.38,10.2,6,1
2008,6.6,0.38,0.15,4.6,0.044,25,78,0.9931,3.11,0.38,10.2,6,0
2009,6.6,0.24,0.27,15.8,0.035,46,188,0.9982,3.24,0.51,9.2,5,0
2010,6.6,0.28,0.28,8.5,0.052,55,211,0.9962,3.09,0.55,8.9,6,1
2011,6.6,0.15,0.34,5.1,0.055,34,125,0.9942,3.36,0.42,9.6,5,0
2012,6.6,0.58,0.3,5.1,0.057,30,123,0.9949,3.24,0.38,9,5,0
2013,6.6,0.19,0.41,8.9,0.046,51,169,0.9954,3.14,0.57,9.8,6,0
2014,6.6,0.24,0.35,7.7,0.031,36,135,0.9938,3.19,0.37,10.5,5,0
2015,6.6,0.24,0.35,7.7,0.031,36,135,0.9938,3.19,0.37,10.5,5,1
2016,6.6,0.18,0.35,1.5,0.049,49,141,0.9934,3.43,0.85,10.2,7,1
2017,6.6,0.905,0.19,0.8,0.048,17,204,0.9934,3.34,0.56,10,5,0
2018,6.6,0.16,0.32,1.4,0.035,49,186,0.9906,3.35,0.64,12.4,8,0
2019,6.6,0.52,0.44,12.2,0.048,54,245,0.9975,3.26,0.54,9.3,6,1
2020,6.6,0.24,0.29,2,0.023,19,86,0.99,3.25,0.45,12.5,6,1
2021,6.6,0.34,0.28,1.3,0.035,32,90,0.9916,3.1,0.42,10.7,6,0
2022,6.6,0.25,0.3,1.6,0.046,32,134,0.993,3.42,0.51,10.1,7,1
2023,6.6,0.27,0.25,3.1,0.052,41,188,0.9915,3.24,0.4,11.3,5,0
2024,6.6,0.28,0.36,1.7,0.038,22,101,0.9912,3.29,0.57,11.6,6,1
2025,6.6,0.38,0.18,1.2,0.042,20,84,0.9927,3.22,0.45,10.1,4,1
2026,6.6,0.29,0.44,9,0.053,62,178,0.99685,3.02,0.45,8.9,5,0
2027,6.6,0.33,0.31,1.3,0.02,29,89,0.99035,3.26,0.44,12.4,8,0
2028,6.6,0.25,0.3,14.4,0.052,40,183,0.998,3.02,0.5,9.1,6,1
2029,6.6,0.25,0.3,14.4,0.052,40,183,0.998,3.02,0.5,9.1,6,1
2030,6.6,0.16,0.57,1.1,0.13,58,140,0.9927,3.12,0.39,9.3,7,1
2031,6.6,0.21,0.6,1.1,0.135,61,144,0.9927,3.12,0.39,9.3,7,1
2032,6.6,0.21,0.31,11.4,0.039,46,165,0.99795,3.41,0.44,9.8,7,0
2033,6.6,0.56,0.22,8.9,0.034,27,133,0.99675,3.2,0.51,9.1,5,0
2034,6.6,0.56,0.22,8.9,0.034,27,133,0.99675,3.2,0.51,9.1,5,0
2035,6.6,0.36,0.29,1.6,0.021,24,85,0.98965,3.41,0.61,12.4,9,1
2036,6.6,0.22,0.37,15.4,0.035,62,153,0.99845,3.02,0.4,9.3,5,1
2037,6.6,0.3,0.3,4.8,0.17,60,166,0.9946,3.18,0.47,9.4,5,0
2038,6.6,0.26,0.29,1.4,0.039,13,67,0.9915,3.05,0.49,10.9,6,0
2039,6.6,0.2,0.38,7.9,0.052,30,145,0.9947,3.32,0.56,11,7,0
2040,6.6,0.23,0.32,0.9,0.041,25,79,0.9926,3.39,0.54,10.2,7,1
2041,6.6,0.2,0.32,1.1,0.039,25,78,0.9926,3.39,0.54,10.2,7,0
2042,6.6,0.13,0.3,4.9,0.058,47,131,0.9946,3.51,0.45,10.3,6,0
2043,6.6,0.18,0.28,3.3,0.044,18,91,0.993,3.42,0.64,10.8,6,0
2044,6.6,0.22,0.37,1.2,0.059,45,199,0.993,3.37,0.55,10.3,7,0
2045,6.6,0.14,0.44,1.6,0.042,47,140,0.993,3.32,0.51,10.2,6,1
